Name,Registration No.,Validity,E-mail,Contact Person,Address,Correspondence Address,Telephone,Fax No.,State,City
ADM Capital India AIF Trust,IN/AIF2/23-24/1363,"Oct 05, 2023 - Perpetual",deep.shah@khaitanco.com,Sabita Prakash,"C o Corporate Edge Serviced Offices Suit 10 12 Level 10 Concorde Tower, UB City Vittal Mallya Road Bengaluru Karnataka, BANGALORE, KARNATAKA, 560001","C o Corporate Edge Serviced Offices Suit 10 12 Level 10 Concorde Tower, UB City Vittal Mallya Road Bengaluru Karnataka, BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
ADS India Growth Fund,IN/AIF2/17-18/0317,"Apr 11, 2017 - Perpetual",,,,,,,,
Advantedge Founders Fund,IN/AIF2/23-24/1360,"Sep 27, 2023 - Perpetual",nitin_garg@hotmail.com,Nitin Garg,"3 16, 2nd Floor, Shanti Niketan, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110021","3 16, 2nd Floor, Shanti Niketan, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110021",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Advantedge Technology Fund,IN/AIF1/19-20/0754,"Dec 10, 2019 - Perpetual",kk@advantedge.vc,Kunal Khattar,"3 16 2nd Floor Shanti Niketan New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110021","6 Floor Plot No 1 Sector 127 Noida Uttar Pradesh, NOIDA, UTTAR PRADESH, 201301",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Adventz Keventers Real Estate Trust,IN/AIF2/25-26/2001,"Dec 26, 2025 - Perpetual",compliance@adventzkeventercapitaladvisors.com,Monal Gupta,"WeWork Eldeco Centre, Block A, Shivalik Colony, Malviya Nagar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017","WeWork Eldeco Centre, Block A, Shivalik Colony, Malviya Nagar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Aequitas Equity Fund,IN/AIF3/18-19/0638,"Feb 22, 2019 - Perpetual",mayur.shah@aequitasindia.in,Mayur Shah,"A-1003, The Capital Building, Behind ICICI Bank BKC, Bandra East, Bandra, MUMBAI, MAHARASHTRA, 400051","A-1003, The Capital Building, Behind ICICI Bank BKC, Bandra East, Bandra, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
Aeravti Ventures Trust,IN/AIF1/22-23/1169,"Nov 15, 2022 - Perpetual",shubham@aeravti.com,Shubham Jhuria,"7 Ridhi Sidhi Nanjappa Road Shanthinagar, Behind Bank of Baroda KH Road, BANGALORE, KARNATAKA, 560027","7 Ridhi Sidhi Nanjappa Road Shanthinagar, Behind Bank of Baroda KH Road, BANGALORE, KARNATAKA, 560027",,,KARNATAKA,BANGALORE
AFPL CAT II AIF TRUST,IN/AIF2/23-24/1309,"Jul 10, 2023 - Perpetual",anand.prakash@acmegroup.co.in,Anand Prakash,"F-23,1, 1st Floor, Krishna Nagar Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110051","B 706, Kanakia Wall Street, 7th Floor, B Wing, Andheri East, MUMBAI, MAHARASHTRA, 400099",,,NATIONAL CAPITAL TERRITORY OF DELHI,MUMBAI
Agastya Capital India Trust,IN/AIF2/23-24/1266,"Apr 28, 2023 - Perpetual",Abhijit.Roy@affirmacapital.com,Abhijit Roy,"9th Floor, Avighna House, 82, Dr. Annie Besant Road, Worli Naka, Worli,, MUMBAI, MAHARASHTRA, 400018","9th Floor, Avighna House, 82, Dr. Annie Besant Road, Worli Naka, Worli, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
Agastya Trust,IN/AIF2/21-22/0985,"Jan 31, 2022 - Perpetual",liannaengineer@prachetascapital.com,Lianna Engineer,"Floor No. 3, 310, Plot No. 221, Maker Chambers V, Jamnalal Bajaj Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021","Floor No. 3, 310, Plot No. 221, Maker Chambers V, Jamnalal Bajaj Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
Agility Ventures Fund,IN/AIF1/21-22/0969,"Jan 05, 2022 - Perpetual",agility@agilityventures.in,Prashant Narang,"House No. 74, Third floor, Tagore Park, Near Model Town, New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110009","710, 7th Floor, Aggarwal Cyber Plaza-1, Netaji Subhash Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110034",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
AGP INDUSTRIAL LOGISTICS AIF,IN/AIF2/25-26/1876,"Aug 12, 2025 - Perpetual",,,"Aurbis Concord No 10 3rd Floor Richmond Road Richmond Town Bangalore North Bangalore 560025, BANGALORE, KARNATAKA, 560025","Aurbis Concord No 10 3rd Floor Richmond Road Richmond Town Bangalore North Bangalore 560025, BANGALORE, KARNATAKA, 560025",,,KARNATAKA,BANGALORE
AGRI-SURE - AGRI FUND FOR START UPS AND RURAL ENTERPRISES,IN/AIF2/24-25/1568,"Jul 29, 2024 - Perpetual",vikas.bhatt@nabard.org,VIKAS BHATT,"Plot No. C 24 G Block, Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","Plot No. C 24 G Block, Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
AH Ventures Angel Trust,IN/AIF1/22-23/1075,"Jun 02, 2022 - Perpetual",amit.kumar@ahventures.in,Amit Kumar,"B 402, Kemp Plaza Chincholi Bunder Road Mind Space, Malad West Mumbai, MUMBAI, MAHARASHTRA, 400064","481 B 12, Kalpana, Shri Krupa Society, Parvati Darshan, Pune, PUNE, MAHARASHTRA, 411009",,,MAHARASHTRA,MUMBAI
AHF Investment Trust,IN/AIF2/18-19/0569,"Jul 30, 2018 - Perpetual",anurag.gupta@asianhealthcarefund.com,SHAILENDRA TANDON,"3 FACTORY ROAD, NEAR SAFDARJUNG HOSPITAL, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110029","3 FACTORY ROAD, NEAR SAFDARJUNG HOSPITAL, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110029",30611504.0,30611504.0,NATIONAL CAPITAL TERRITORY OF DELHI,
AIKYAM CAPITAL TRUST,IN/AIF2/25-26/1935,"Oct 23, 2025 - Perpetual",sa.compliance@aikyamcap.com,SONAL GUPTA,"1203 Lotus Link Square K3 and K4 CTS 195 Near Apna Bazar, D N Nagar New Link Road Andheri West Mumbai 400053 Maharashtra India, MUMBAI, MAHARASHTRA, 400053","1203 Lotus Link Square K3 and K4 CTS 195 Near Apna Bazar, D N Nagar New Link Road Andheri West Mumbai 400053 Maharashtra India, MUMBAI, MAHARASHTRA, 400053",,,MAHARASHTRA,MUMBAI
Aikyam Stressed Assets Trust,IN/AIF1/24-25/1749,"Mar 04, 2025 - Perpetual",sa.compliance@aikyamcap.com,SONAL GUPTA,"1203 12th Floor Lotus Link Square DN Nagar New Link Road Andheri West, Near DN Nagar Metro Station, MUMBAI, MAHARASHTRA, 400053","1203 12th Floor Lotus Link Square DN Nagar New Link Road Andheri West, Near DN Nagar Metro Station, MUMBAI, MAHARASHTRA, 400053",,,MAHARASHTRA,MUMBAI
Aionios Alpha Fund,IN/AIF3/22-23/1205,"Feb 08, 2023 - Perpetual",kuleen.tanna@aioniosalpha.com,Kuleen Tanna,"418, Maker Chambers V, 221 Jamnalal Bajaj Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021","418, Maker Chambers V, 221 Jamnalal Bajaj Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021",,,MAHARASHTRA,MUMBAI
AIP INDIA OPPORTUNITIES TRUST,IN/AIF2/21-22/0957,"Dec 06, 2021 - Perpetual",sujain@apollo.com,Sumeet Jain,"Unit No. 81, 8th floor, North Avenue 2, Maker Maxity,, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
Airavat Capital Trust,IN/AIF3/16-17/0275,"Nov 11, 2016 - Perpetual",,,"91 Springboard, Gopala Krishna Complex, No. 45/3, Residency Road, MG Road,, BANGALORE, KARNATAKA, 560025",,,,KARNATAKA,BANGALORE
Ajanta India Fund,IN/AIF3/24-25/1560,"Jul 15, 2024 - Perpetual",vishnu@ajantafund.com,Vishnu Gopalakrishnan,"E2302, Ashok Gardens, , Tokersi Jivraj Road, Sewri, MUMBAI, MAHARASHTRA, 400015","E2302, Ashok Gardens, , Tokersi Jivraj Road, Sewri, MUMBAI, MAHARASHTRA, 400015",,,MAHARASHTRA,MUMBAI
AJVC TRUST,IN/AIF2/24-25/1578,"Aug 13, 2024 - Perpetual",aviral@ajuniorvc.com,Aviral Bhatnagar,"WeWork Futura, Sr No 133 P, CTS No. 4944, Magarpatta Road, Kirtane Baugh, Magarpatta, Hadapsar, PUNE, MAHARASHTRA, 411013","WeWork Futura, Sr No 133 P, CTS No. 4944, Magarpatta Road, Kirtane Baugh, Magarpatta, Hadapsar, PUNE, MAHARASHTRA, 411013",,,MAHARASHTRA,
Akalpya India Investment Trust,IN/AIF3/25-26/1797,"Apr 24, 2025 - Perpetual",prashilshah8@gmail.com,Prashil Shah,"202 Shakti 21 Judges , Bunglow road Vastrapur, AHMEDABAD, GUJARAT, 380015","202 Shakti 21 Judges , Bunglow road Vastrapur, AHMEDABAD, GUJARAT, 380015",,,GUJARAT,
Akron Capital Private Trust,IN/AIF2/25-26/2094,"Mar 12, 2026 - Perpetual",minal@anilgoyal.com,Minal Gadia,"609, 6th Floor, Inizio, Cardinal Gracious Road, Opp.P & G Plaza, Chakala Andheri East, MUMBAI, MAHARASHTRA, 400099",,,,MAHARASHTRA,MUMBAI
AL Access Trust,IN/AIF1/18-19/0650,"Mar 13, 2019 - Perpetual",utsav@angel.co,Utsav Somani,"E1 12 Vasant Vihar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110057","E1 12 Vasant Vihar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110057",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
AL Trust,IN/AIF1/17-18/0504,"Nov 20, 2017 - Perpetual",,,,,,,,
Alacrity India Fund,IN/AIF1/18-19/0534,"Apr 23, 2018 - Perpetual",vikas.agarwal@legalogic.co.in,Vikas Agarwal,"Kondan 11/2, Gananjay Housing Society, Kothrud, PUNE, MAHARASHTRA, 411030","Kondan 11/2, Gananjay Housing Society, Kothrud, PUNE, MAHARASHTRA, 411030",,,MAHARASHTRA,
ALANAR ONE HEALTH EQUITY FUND,IN/AIF2/25-26/1782,"Apr 07, 2025 - Perpetual",aamerkhan0202@gmail.com,AAMER KHAN,"115 B 58 Ravikiran Oshiwara Link Road, Andheri W H M P School Mumbai Maharashtra, MUMBAI, MAHARASHTRA, 400058","115 B 58 Ravikiran Oshiwara Link Road, Andheri W H M P School Mumbai Maharashtra, MUMBAI, MAHARASHTRA, 400058",,,MAHARASHTRA,MUMBAI
Alchemie Ventures Fund,IN/AIF3/22-23/1086,"Jun 13, 2022 - Perpetual",rajendra.mhatre@aarti-industries.com,Rajendra Mhatre,"2nd Floor, Udyog Kshetra, 71, Mulund Goregaon Link Road, Mulund West, MUMBAI, MAHARASHTRA, 400080","2nd Floor, Udyog Kshetra, 71, Mulund Goregaon Link Road, Mulund West, MUMBAI, MAHARASHTRA, 400080",,,MAHARASHTRA,MUMBAI
Alchemy Alternative Investment Trust,IN/AIF3/17-18/0381,"Oct 24, 2017 - Perpetual",compliance@alchemycapital.com,Chirag Pandya,,,,,,
Alkemi Venture Fund I,IN/AIF2/18-19/0533,"Apr 20, 2018 - Perpetual",alka@alkemivp.com,Alka Goel,"90/12, AB, Malviya Nagar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017","90/12, AB, Malviya Nagar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017",911000000000000.0,911000000000000.0,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Alkemi Venture Fund II,IN/AIF2/21-22/0984,"Jan 31, 2022 - Perpetual",alka@alkemivp.com,Alka Goel,"90 12, AB, Malviya Nagar, New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017","90 12, AB, Malviya Nagar, New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
All In Capital Trust,IN/AIF2/24-25/1512,"May 06, 2024 - Perpetual",simran@allincapital.vc,Aditya Singh,"522, Corporate Centre, Nirmal Lifestyles, LBS Marg, Mulund West, Mumbai, MUMBAI, MAHARASHTRA, 400080","522, Corporate Centre, Nirmal Lifestyles, LBS Marg, Mulund West, Mumbai, MUMBAI, MAHARASHTRA, 400080",,,MAHARASHTRA,MUMBAI
Almontroz Trust,IN/AIF2/25-26/2064,"Feb 24, 2026 - Perpetual",almontrozaifservices@gmail.com,Mit Mehta,"Level 5 Grande Palladium, 175 Cst Road Off Bkc, Vidyanagari, MUMBAI, MAHARASHTRA, 400098",,,,MAHARASHTRA,MUMBAI
ALPHA ALTERNATIVES INVESTMENT FUND,IN/AIF3/18-19/0544,"May 18, 2018 - Perpetual",ashim@alt-alpha.com,ASHIM SAHNI,"34th Floor, Sunshine Tower, Senapati Bapat Marg, Dadar West, MUMBAI, MAHARASHTRA, 400013","34th Floor, Sunshine Tower, Senapati Bapat Marg, Dadar West, MUMBAI, MAHARASHTRA, 400013",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
Alpha Alternatives MSAR LLP,IN/AIF3/21-22/0901,"Jul 01, 2021 - Perpetual",ashim@alt-alpha.com,Ashim Sahni,"34th Floor, Sunshine Tower, Senapati Bapat Marg, Dadar West, MUMBAI, MAHARASHTRA, 400013","34th Floor, Sunshine Tower, Senapati Bapat Marg, Dadar West, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Alpha Alternatives Special Situations Fund,IN/AIF2/22-23/1160,"Oct 21, 2022 - Perpetual",compliance@alt-alpha.com,Mayank Varshney,"34th Floor, Sunshine Tower, Senapati Bapat Marg, Near Kamgar Krida Maidan, Dadar West, MUMBAI, MAHARASHTRA, 400013","34th Floor, Sunshine Tower, Senapati Bapat Marg, Near Kamgar Krida Maidan, Dadar West, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Alpha Right Fund,IN/AIF3/24-25/1496,"Apr 10, 2024 - Perpetual",sg@ladderup.com,Sunil Goyal,"102 A, 1st Floor, Hallmark Business Plaza, Gurunanak Hospital Road, Bandra East, Mumbai 400 051, MUMBAI, MAHARASHTRA, 400051","102 A, 1st Floor, Hallmark Business Plaza, Gurunanak Hospital Road, Bandra East, Mumbai 400 051, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
ALPHAMINE AIF,IN/AIF3/21-22/0948,"Nov 03, 2021 - Perpetual",compliance.in@alphamineim.com,ANIL VEMIREDDY,"Unit no. 12 A-05, 13th Floor, Parinee Crescenzo, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Unit no. 12 A-05, 13th Floor, Parinee Crescenzo, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
ALPHASQUARE OPPORTUNITIES FUND,IN/AIF3/22-23/1104,"Jul 14, 2022 - Perpetual",info@alphasquarefund.com,Prasanta Mohanty,"303 Tower A Peninsula Business Park, GK Marg Lower Parel Delisle Road, MUMBAI, MAHARASHTRA, 400013","303 Tower A Peninsula Business Park, GK Marg Lower Parel Delisle Road, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
ALPHEGA INVESTMENT TRUST,IN/AIF2/24-25/1608,"Oct 03, 2024 - Perpetual",prashant@aisindia.co.in,PRASHANT VOHERA,"21A, Titanium, Corporate Road, Prahaladnagar, AHMEDABAD, GUJARAT, 380015","21A, Titanium, Corporate Road, Prahaladnagar, AHMEDABAD, GUJARAT, 380015",,,GUJARAT,
ALT VENTURE CAPITAL FUND,IN/AIF1/23-24/1280,"May 18, 2023 - Perpetual",gandhimadhy.varadarajan@letsventure.com,Gandhimadhy Varadarajan,"51 Indiqube Penta Rachimond Road, Shantala Nagar, BANGALORE, KARNATAKA, 560025","51 Indiqube Penta Rachimond Road, Shantala Nagar, BANGALORE, KARNATAKA, 560025",,,KARNATAKA,BANGALORE
ALTA CURA AI TRUST,IN/AIF3/23-24/1418,"Dec 28, 2023 - Perpetual",OPS@ALTACURATECH.COM,PRATEEK GUPTA,"61, Second Floor, Panchkuian Road, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","61, Second Floor, Panchkuian Road, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,,NATIONAL CAPITAL TERRITORY OF DELHI,
AltaCura AI Absolute Return Fund LLP,IN/AIF3/21-22/0934,"Sep 30, 2021 - Perpetual",rnagpal@accuracap.com,Raman Nagppal,"61, 2nd Floor , Panchkuian Road, Central Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","C 115 , Sector 39, NOIDA, UTTAR PRADESH, 201301",,,NATIONAL CAPITAL TERRITORY OF DELHI,
AltCap Yield Fund,IN/AIF2/20-21/0831,"Oct 07, 2020 - Perpetual",legal@propertyshare.in,Atul V Mohan,"10th Floor,SKAV Seethalakshmi, 21/22, Kasturba Road, BANGALORE, KARNATAKA, 560001","10th Floor, SKAV Seethalakshmi, 21/22, Kasturba Road ., BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
Alteria Capital Fund II,IN/AIF2/20-21/0843,"Dec 03, 2020 - Perpetual",jinal@alteriacapital.com,Jinal Gandhi,"Third Floor Birla Centurion , Pandurang Budhkar Marg Worli Mumbai India 400030, MUMBAI, MAHARASHTRA, 400030","Third Floor Birla Centurion , Pandurang Budhkar Marg Worli Mumbai India 400030, MUMBAI, MAHARASHTRA, 400030",,,MAHARASHTRA,MUMBAI
Alteria Capital Fund III,IN/AIF2/22-23/1061,"May 10, 2022 - Perpetual",jinal@alteriacapital.com,Jinal Gandhi,"1002A, 10th Floor, Tower 1, One International Centre, Senapati Bapat Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400013","1002A, 10th Floor, Tower 1, One International Centre, Senapati Bapat Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Alteria Capital Fund IV,IN/AIF2/25-26/1877,"Aug 12, 2025 - Perpetual",jinal@alteriacapital.com,Jinal Gandhi,"1002 A 10th Floor Tower 1 One International Center Senapati Bapat Marg Prabhadevi, MUMBAI, MAHARASHTRA, 400013","1002 A 10th Floor Tower 1 One International Center Senapati Bapat Marg Prabhadevi, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Alteria Capital India Fund I,IN/AIF2/17-18/0388,"Nov 10, 2017 - Perpetual",,,"3rd Floor, Birla Centurion, Century Mills Compound, Pandurang Budhkar Marg, MUMBAI, MAHARASHTRA, 400030",,,,MAHARASHTRA,MUMBAI
AltFirst India Fund,IN/AIF2/23-24/1469,"Mar 22, 2024 - Perpetual",jitendra.nayyar@oisterglobal.com,Jitendra Nayyar,"Two Horizon Center, Suite 628 629, Level 6 Wing B, Golf Course , Golf Course Road, DLF Phase V, Sector 43, GURGAON, HARYANA, 122002","Two Horizon Center, Suite 611, Level 6 Wing B, Golf Course Road, DLF Phase V, Sector 43, GURGAON, HARYANA, 122002",,,HARYANA,
ALTURAS INDIA FUND,IN/AIF3/24-25/1766,"Mar 21, 2025 - Perpetual",prabhatawasthi@alturasim.co.in,Prabhat Awasthi,"2202, 22nd Floor, Indiabulls Sky, Elphistone, MUMBAI, MAHARASHTRA, 400013","2202, 22nd Floor, Indiabulls Sky, Elphistone, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
ALYXIS VENTURE PARTNERS TRUST,IN/AIF2/24-25/1504,"Apr 26, 2024 - Perpetual",ramanathan@alyxisventures.com,KRISHNAMURTHY RAMANATHAN,"23 6th Main Road Mathikere Extension, BANGALORE, KARNATAKA, 560054","23 6th Main Road Mathikere Extension, BANGALORE, KARNATAKA, 560054",,,KARNATAKA,BANGALORE
Amara Partners Trust,IN/AIF2/23-24/1413,"Dec 18, 2023 - Perpetual",compliance@amarapt.com,Mitesh Shah,"4-6 Floor-G, Plot-123/125, A, Hampton Court, Nathalal Parikh Marg, Colaba, Mumbai - 400 005, MUMBAI, MAHARASHTRA, 400005","704 B, 7th Floor, Piramal Tower, Peninsula Corporate Park, Ganpatrao Kadam Marg, Lower Parel (W), Mumbai 400013, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Amaya Investment Trust,IN/AIF3/23-24/1290,"Jun 07, 2023 - Perpetual",amit@phoenixadvisers.com,Amit Khanna,"Unit 3A 3rd Floor Aria Commercial Towers JW Marriott Hotel Asset Area 4 Aerocity New Delhi 110037 In, Unit 3A 3rd Floor Aria Commercial Towers JW Marriott Hotel Asset Area 4 Aerocity New Delhi 110037 In, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110037","Unit 3A 3rd Floor Aria Commercial Towers JW Marriott Hotel Asset Area 4 Aerocity New Delhi 110037 In, Unit 3A 3rd Floor Aria Commercial Towers JW Marriott Hotel Asset Area 4 Aerocity New Delhi 110037 In, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110037",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Ambit Investment Advisors Trust,IN/AIF3/25-26/1833,"Jul 02, 2025 - Perpetual",compliance@ambit.co,Shivangi Shubhra,"Ambit House, 449, Senapati Bapat Marg, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013","Ambit House, 449, Senapati Bapat Marg, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Ambit Investment Managers Trust,IN/AIF3/22-23/1210,"Feb 16, 2023 - Perpetual",ambitimcompliance@ambit.co,Abhishek Goel,"Ambit House, 449,, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Ambit House, 449, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
AMCHA PARTNERS AIF TRUST,IN/AIF3/24-25/1655,"Dec 05, 2024 - Perpetual",amit@grobiz.pro,AMIT KUMAR,"6 Thosar Wadi 10 Hanuman Road Nr Khadayisa Bhavan Vilee Parle East , Vile Parle Police Station Mumbai 400057 Maharashtra India, MUMBAI, MAHARASHTRA, 400057","6 Thosar Wadi 10 Hanuman Road Nr Khadayisa Bhavan Vilee Parle East , Vile Parle Police Station Mumbai 400057 Maharashtra India, MUMBAI, MAHARASHTRA, 400057",,,MAHARASHTRA,MUMBAI
Amicus Capital Partners India Fund I,IN/AIF2/16-17/0253,"Aug 24, 2016 - Perpetual",,,"C by o ILFS Trust Company Ltd, The ILFS Financial Centre, Plot No C22, G Block, Bandra Kurla Complex, Bandra E, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
AMICUS CAPITAL PARTNERS INDIA FUND II,IN/AIF2/22-23/1052,"Apr 20, 2022 - Perpetual",sunil@amicuscapital.in,SUNIL VASUDEVAN,"3rd Floor, Rocklines House, 9 1 Museum Road, BANGALORE, KARNATAKA, 560001","3rd Floor, Rocklines House, 9 1 Museum Road, BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
AMICUS CAPITAL PRIVATE EQUITY I LLP,IN/AIF2/16-17/0261,"Sep 22, 2016 - Perpetual",,,,,,,,
AMITSG VENTURES TRUST,IN/AIF3/25-26/1830,"Jun 16, 2025 - Perpetual",amitsgaif@gmail.com,AMIT GAWANDE,"908, Aaron Spectra, Opp. Rajpath Club, Rajpath Rangoli Road, Bodakdev, Ahmedabad, AHMEDABAD, GUJARAT, 380054","908, Aaron Spectra, Opp. Rajpath Club, Rajpath Rangoli Road, Bodakdev, Ahmedabad, AHMEDABAD, GUJARAT, 380054",,,GUJARAT,
Ampersand Capital Trust,IN/AIF3/17-18/0356,"Jul 27, 2017 - Perpetual",,,,,,,,
AMPLUS REALTY TRUST,IN/AIF2/12-13/0029,"Feb 20, 2013 - Perpetual",,,,,,,,
AMPLUS REALTY TRUST - II,IN/AIF2/14-15/0137,"Mar 17, 2015 - Perpetual",,,,,,,,
AMRAC INVESTMENT TRUST,IN/AIF2/13-14/0070,"Aug 07, 2013 - Perpetual",,,"M 79 A Ground floor, Malviya Nagar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017",,,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
AMRUT BHAVISHYA TRUST,IN/AIF2/25-26/2024,"Jan 28, 2026 - Perpetual",HEERKAMDAR@AMRUTASSETADVISORS.COM,HEER KAMDAR,"Plot 54, Flat 5, Shankar Kutir, , TVC Marg, Sion East,, MUMBAI, MAHARASHTRA, 400022","Plot 54, Flat 5, Shankar Kutir, , TVC Marg, Sion East, MUMBAI, MAHARASHTRA, 400022",,,MAHARASHTRA,MUMBAI
AMRUT OPPORTUNITIES TRUST,IN/AIF2/23-24/1405,"Dec 11, 2023 - Perpetual",dipangkamdar@gmail.com,DIPANG KAMDAR,"5, Floor Ground, Plot 54, Shankar Kutir, , T.V Chidambaram Road, Cine Planet Sion Circle, Sion East,, MUMBAI, MAHARASHTRA, 400022","5, Floor Ground, Plot 54, Shankar Kutir, , T.V Chidambaram Road, Cine Planet Sion Circle, Sion East, MUMBAI, MAHARASHTRA, 400022",,,MAHARASHTRA,MUMBAI
Amun Ra Holding,IN/AIF3/24-25/1735,"Feb 28, 2025 - Perpetual",sumit@amunra.io,Sumit Rohatgi,"3rd Floor, Allana House, J A Allana Road, Electric House, Colaba, MUMBAI, MAHARASHTRA, 400001","3rd Floor, Allana House, J A Allana Road, Electric House, Colaba, MUMBAI, MAHARASHTRA, 400001",,,MAHARASHTRA,MUMBAI
ANAMI TRUST,IN/AIF3/25-26/1978,"Dec 09, 2025 - Perpetual",info@anamifund.com,ANITA SETH,"House Number 39, First Floor, Ishwar Colony, Polo Road, Near Kirpal Bagh, Post Office G.T.B. Nagar, North West Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110009","House Number 39, First Floor, Ishwar Colony, Polo Road, Near Kirpal Bagh, Post Office G.T.B. Nagar, North West Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110009",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Anand Rathi AIF II Trust,IN/AIF2/14-15/0107,"May 20, 2014 - Perpetual",,,"10th Floor, A Wing, Express Zone, Western Express Highway, , Goregaon East, Mumbai 400063., MUMBAI, MAHARASHTRA, 400063",,,,MAHARASHTRA,MUMBAI
Anand Rathi AIF III Trust,IN/AIF3/20-21/0821,"Aug 14, 2020 - Perpetual",shivanithakkar@rathi.com,Shivani Thakkar,"10th Floor, A Wing, Express Zone, Western Express Highway, Goregaon East, MUMBAI, MAHARASHTRA, 400063","11th Floor, Times Tower, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
